Week of,Henry Hub Natural Gas Spot Price Dollars per Million Btu
12/22/2000,9.86
12/15/2000,8.37
12/8/2000,8.16
12/1/2000,6.18
11/24/2000,6.29
11/17/2000,5.78
11/10/2000,4.96
11/3/2000,4.49
10/27/2000,4.68
10/20/2000,5.17
10/13/2000,5.26
10/6/2000,5.2
9/29/2000,5.21
9/22/2000,5.17
9/15/2000,5.05
9/8/2000,4.82
9/1/2000,4.66
8/25/2000,4.63
8/18/2000,4.33
8/11/2000,4.44
8/4/2000,4.01
7/28/2000,3.72
7/21/2000,3.98
7/14/2000,4.18
7/7/2000,4.15
6/30/2000,4.39
6/23/2000,4.28
6/16/2000,4.3
6/9/2000,4.19
6/2/2000,4.36
5/26/2000,4.04
5/19/2000,3.56
5/12/2000,3.26
5/5/2000,3.15
4/28/2000,3.11
4/21/2000,3.11
4/14/2000,3.03
4/7/2000,2.92
3/31/2000,2.88
3/24/2000,2.77
3/17/2000,2.81
3/10/2000,2.74
3/3/2000,2.7
2/25/2000,2.52
2/18/2000,2.64
2/11/2000,2.67
2/4/2000,2.81
1/28/2000,2.71
1/21/2000,2.46
1/14/2000,2.25
1/7/2000,2.18
12/31/1999,2.33
12/24/1999,2.53
12/17/1999,2.49
12/10/1999,2.21
12/3/1999,2.2
11/26/1999,2
11/19/1999,2.24
11/12/1999,2.39
11/5/1999,2.75
10/29/1999,2.94
10/22/1999,2.92
10/15/1999,2.67
10/8/1999,2.45
10/1/1999,2.46
9/24/1999,2.42
9/17/1999,2.58
9/10/1999,2.7
9/3/1999,2.69
8/27/1999,2.98
8/20/1999,2.8
8/13/1999,2.75
8/6/1999,2.63
7/30/1999,2.58
7/23/1999,2.29
7/16/1999,2.14
7/9/1999,2.21
7/2/1999,2.29
6/25/1999,2.25
6/18/1999,2.27
6/11/1999,2.37
6/4/1999,2.34
5/28/1999,2.23
5/21/1999,2.27
5/14/1999,2.24
5/7/1999,2.3
4/30/1999,2.3
4/23/1999,2.18
4/16/1999,2.12
4/9/1999,2.04
4/2/1999,1.92
3/26/1999,1.79
3/19/1999,1.75
3/12/1999,1.87
3/5/1999,1.69
2/26/1999,1.7
2/19/1999,1.79
2/12/1999,1.81
2/5/1999,1.79
1/29/1999,1.76
1/22/1999,1.81
1/15/1999,1.81
1/8/1999,2
1/1/1999,1.84
12/25/1998,1.95
12/18/1998,1.93
12/11/1998,1.6
12/4/1998,1.34
11/27/1998,2.08
11/20/1998,2.12
11/13/1998,2.27
11/6/1998,2.11
10/30/1998,1.89
10/23/1998,1.9
10/16/1998,1.73
10/9/1998,1.99
10/2/1998,2.2
9/25/1998,2.24
9/18/1998,2.07
9/11/1998,1.83
9/4/1998,1.72
8/28/1998,1.81
8/21/1998,1.93
8/14/1998,1.85
8/7/1998,1.86
7/31/1998,1.95
7/24/1998,2.05
7/17/1998,2.21
7/10/1998,2.36
7/3/1998,2.39
6/26/1998,2.38
6/19/1998,2.11
6/12/1998,2
6/5/1998,2.1
5/29/1998,2.09
5/22/1998,2.13
5/15/1998,2.2
5/8/1998,2.14
5/1/1998,2.23
4/24/1998,2.4
4/17/1998,2.46
4/10/1998,2.57
4/3/1998,2.41
3/27/1998,2.3
3/20/1998,2.23
3/13/1998,2.22
3/6/1998,2.18
2/27/1998,2.22
2/20/1998,2.2
2/13/1998,2.21
2/6/1998,2.28
1/30/1998,2.08
1/23/1998,2.11
1/16/1998,2.05
1/9/1998,2.11
1/2/1998,2.26
12/26/1997,2.21
12/19/1997,2.34
12/12/1997,2.34
12/5/1997,2.51
11/28/1997,2.55
11/21/1997,2.89
11/14/1997,3.25
11/7/1997,3.16
10/31/1997,3.42
10/24/1997,3.21
10/17/1997,2.89
10/10/1997,2.83
10/3/1997,3
9/26/1997,3.08
9/19/1997,2.85
9/12/1997,2.76
9/5/1997,2.77
8/29/1997,2.58
8/22/1997,2.54
8/15/1997,2.53
8/8/1997,2.37
8/1/1997,2.22
7/25/1997,2.2
7/18/1997,2.24
7/11/1997,2.15
7/4/1997,2.15
6/27/1997,2.27
6/20/1997,2.22
6/13/1997,2.16
6/6/1997,2.17
5/30/1997,2.28
5/23/1997,2.22
5/16/1997,2.22
5/9/1997,2.29
5/2/1997,2.15
4/25/1997,2.14
4/18/1997,2.04
4/11/1997,1.98
4/4/1997,1.88
3/28/1997,1.84
3/21/1997,1.91
3/14/1997,1.96
3/7/1997,1.86
2/28/1997,1.82
2/21/1997,1.91
2/14/1997,2.3
2/7/1997,2.53
1/31/1997,2.91
1/24/1997,2.98
1/17/1997,4.19
1/10/1997,3.79
